date,datetime before,temp before,datetime after,temp after,project,Subject #,Subject name on XNAT,Temp record on XNAT,phantom exisist on XNAT?,,notes jasper
,,,,,shiva,SHIVA_104,,no,no,,
,,,,,shiva,SHIVA_105,,no,no,,
,,,,,shiva,SHIVA_106,,no,no,,
,,,,,shiva,SHIVA_107,,no,no,,
,,,,,shiva,SHIVA_108,SHIVA_108,no,no,,
,,,,,shiva,SHIVA_109,SHIVA_109,no,no,,
6/20/2014,11:51:00 AM,23.6,12:35:00 PM,24.9,shiva,SHIVA_110,SHIVA_110,yes,SHIVA_110_PHANTOM,,
,,,,,shiva,SHIVA_111,SHIVA_111,yes,SHIVA_111_PHANTOM,,
,,,,,shiva,SHIVA_112,N/A,N/A,N/A,,
1/7/2015,3:31:00 PM,22.9,4:30:00 PM,23.6,shiva,SHIVA_113,SHIVA_113,yes,SHIVA_113_PHANTOM,,
1/27/2015,1:18:00 PM,23.6,2:18:00 PM,23.4,shiva,SHIVA_114,SHIVA_114,yes,SHIVA_114_PHANTOM,,
1/20/2015,12:53:00 PM,22.9,1:54:00 PM,23.3,shiva,SHIVA_115,SHIVA_115,yes,SHIVA_115_PHANTOM,,
,,,,,shiva,SHIVA_116,,,,,
3/9/2015,12:46:00 PM,22.2,1:52:00 PM,22.5,shiva,SHIVA_117,SHIVA_117,yes,SHIVA_211_PHANTOM,,
,,,,,shiva,SHIVA_201,,,,,
,,,,,shiva,SHIVA_202,,,,,
3/2/2015,3:38:00 PM,21.7,4:38:00 PM,22.2,shiva,SHIVA_203,SHIVA_203,yes,SHIVA_203_PHANTOM,,
3/3/2015,10:25:00 AM,20.4,11:24:00 AM,21.3,shiva,SHIVA_204,SHIVA_204,yes,SHIVA_204_PHANTOM,,
2/11/2015,1:48:00 PM,21.7,2:48:00 PM,21.9,shiva,SHIVA_205,SHIVA_205,yes,SHIVA_205_PHANTOM,,
2/24/2015,4:00:00 PM,22.7,5:00:00 PM,23,shiva,SHIVA_206,SHIVA_206,yes,SHIVA_206_PHANTOM,,
2/23/2015,10:07:00 AM,21.3,11:07:00 AM,22.1,shiva,SHIVA_207,SHIVA_207,yes,SHIVA_207_PHANTOM,,
2/27/2015,10:01:00 AM,21.2,11:00:00 AM,21.8,shiva,SHIVA_208,SHIVA_208,yes,SHIVA_208_PHANTOM,,
2/18/2015,12:22:00 PM,21.4,1:22:00 PM,22,shiva,SHIVA_209,SHIVA_209,yes,SHIVA_209_PHANTOM,,
3/5/2015,10:34:00 AM,20.6,11:35:00 AM,21,shiva,SHIVA_210,SHIVA_210,yes,SHIVA_210_PHANTOM,,
3/9/2015,12:46:00 PM,22.2,1:52:00 PM,22.5,shiva,SHIVA_211,SHIVA_211,yes,SHIVA_211_PHANTOM,,
8/1/2014,2:45:00 PM,23.5,3:45:00 PM,23.8,shiva,SHIVA_301,SHIVA_301,yes,SHIVA_301_PHANTOM,,
,,,,,shiva,SHIVA_302,SHIVA_302,no - not in SCS,SCS347_2_PHANTOM,,
,,,,,shiva,SHIVA_303,SHIVA_303,yes,SHIVA_303_PHANTOM,,
,,,,,shiva,SHIVA_304,SHIVA_304,no - not in SCS,SCS334_PHANTOM,,
7/28/2014,10:57:00 AM,23.8,11:37:00 AM,24.3,shiva,SHIVA_305,SHIVA_305,yes,SHIVA_305_PHANTOM,,
,,,,,shiva,SHIVA_306,SHIVA_306,no,SHIVA_PHANTOM_20141024,,
10/27/2014,3:34:00 PM,23.4,4:33:00 PM,24.3,shiva,SHIVA_307,SHIVA_307,yes,SHIVA_PHANTOM_20141027,,
3/4/2015,12:46:00 PM,22.5,1:51:00 PM,22.3,shiva,SHIVA_308,SHIVA_308,yes,SHIVA_308_PHANTOM,,
3/10/2015,11:29:00 AM,20.9,12:31:00 PM,21.6,shiva,SHIVA_309,SHIVA_309,yes,SHIVA_309_PHANTOM,,
,,,,,shiva,SHIVA_401,SHIVA_401,yes,SHIVA_401_PHANTOM,,
7/8/2014,5:25:00 PM,26.8,6:35:00 PM,27,shiva,SHIVA_402,SHIVA_402,yes,SHIVA_402_PHANTOM,,
,,,,,shiva,SHIVA_403,SHIVA_403,yes,SHIVA_111_PHANTOM,,
,,,,,shiva,SHIVA_404,SHIVA_404,no - no phantom done,no - no phantom done,,
10/23/2014,11:20:00 AM,24.2,12:29:00 PM,24.7,shiva,SHIVA_405,SHIVA_405,yes,SHIVA_PHANTOM_20141023,,
12/17/2014,1:07:00 PM,22.4,2:06:00 PM,22.8,shiva,SHIVA_406,SHIVA_406,yes,SHIVA_406_PHANTOM,,
12/10/2014,3:22:00 PM,22.7,4:20:00 PM,23.8,shiva,SHIVA_407,SHIVA_407,yes,SHIVA_407_PHANTOM,,
2/13/2015,1:29:00 PM,23.9,2:29:00 PM,23.5,shiva,SHIVA_408,"SHIVA_408, SHIVA_408B","yes, yes","SHIVA_408_PHANTOM, SHIVA_309_PHANTOM",,
6/18/2014,2:00:00 PM,24.2,,25.3,scs,SCS_347b,,,,,
6/27/2014,5:30:00 PM,25.6,6:30:00 PM,26.9,scs,SCS370_PHANTOM,,,,,
8/28/2014,1:48:00 PM,24.2,2:48:00 PM,24.7,scs,SCS332b,,,,,
7/3/2014,,27.3,,27.1,scs,SCS 317 Phantom,,,,,
5/14/2014,4:53:00 PM,26.5,,,scs,Subject 335,,,,,
7/23/2014,,23.4,,23.8,scs,SCS353 Phantom,,,,,
7/25/2015,12:56:00 PM,23.1,1:46:00 PM,23.6,scs,SCS384_PHANTOM,,,,,
5/15/2014,4:08:00 PM,25.7,4:28:00 PM,26,scs,SCS385,,,,,
7/18/2014,12:07:00 PM,24.3,1:05:00 PM,24.5,scs,SCS334_PHANTOM,,,,,
6/24/2015,12:15:00 PM,25.2,1:18:00 PM,25.2,sr,SR_adult_103,,,,,
6/30/2015,11:31:00 AM,23.5,12:30:00 PM,24.3,sr,SR_adult_104,,,,,
8/4/2015,1:42:00 PM,24,2:42:00 PM,25.1,sr,SR_adult_102,,,,,
6/8/2015,11:33:00 AM,27,12:33:00 PM,27.2,sr,SR_adult_101,,,,,
6/24/2015,,,,,,SR_adult_107,,,,,
6/3/2015,1:05:00 PM,24.5,2:08:00 PM,24.7,sr,SR_adult_001,,,,,
5/20/2015,2:18:00 PM,25.2,3:18:00 PM,25.2,sr,SR_adult_002,,,,,
5/11/2015,11:20:00 AM,24.7,12:16:00 PM,24.9,sr,SR_adult_003,,,,,
6/30/2015,11:31:00 AM,23.5,12:30:00 PM,24.3,sr,SR_adult_004,,,,,
5/12/2015,10:55:00 AM,21.6,11:55:00 AM,23,sr,SR_adult_007,,,,,
7/31/2014,,,12:10:00 PM,23.9,,from temp gun,,,,,
11/8/2014,,,12:41:00 PM,23.5,,from temp gun,,,,,
